MainText,Tokenized_Text
IM LATE TELLMISS IM ON MY WAY,"[32, 301, 5306, 32, 17, 16, 169]"
Got it..mail panren paru..,"[72, 5307, 5308, 5309]"
No just send to you. Bec you in temple na.,"[44, 40, 84, 2, 3, 3534, 3, 9, 2300, 1263]"
Great. P diddy is my neighbor and comes for toothpaste every morning,"[142, 219, 5310, 10, 16, 5311, 8, 754, 12, 5312, 193, 223]"
Heehee that was so funny tho,"[5313, 26, 60, 37, 1466, 918]"
"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL","[3528, 2, 275, 7, 493, 124, 4, 1261, 39, 9, 4, 230, 100, 106, 23, 124, 79, 3529, 3530]"
"Good afternoon, my love. It was good to see your words on YM and get your tm. Very smart move, my slave ... *smiles* ... I drink my coffee and await you.","[71, 610, 16, 87, 14, 60, 71, 2, 96, 7, 705, 17, 2010, 8, 35, 7, 2301, 231, 2733, 1112, 16, 1461, 2011, 5, 811, 16, 1240, 8, 787, 3]"
"I wake up long ago already... Dunno, what other thing?","[5, 644, 46, 365, 1094, 192, 535, 61, 289, 291]"
"	09066362231 URGENT! Your mobile No 07xxxxxxxxx won a £2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP!","[167, 7, 86, 44, 2302, 187, 6, 457, 750, 118, 17, 31, 10, 4, 456, 314, 2, 450, 3, 18, 883]"
"Well imma definitely need to restock before thanksgiving, I'll let you know when I'm out","[119, 1598, 1599, 88, 2, 5314, 190, 2734, 76, 207, 3, 65, 56, 32, 51]"
Ü eatin later but i'm eatin wif my frens now lei... Ü going home first?,"[1575, 153, 33, 32, 1575, 596, 16, 1314, 24, 702, 99, 83, 258]"
	Do you want a NEW video phone750 anytime any network mins 150 text for only five pounds per week call 08000776320 now or reply for delivery tomorrow,"[38, 3, 81, 6, 85, 333, 111, 584, 95, 458, 266, 80, 12, 74, 1349, 646, 206, 126, 18, 24, 23, 49, 12, 218, 180]"
"What i mean was i left too early to check, cos i'm working a 9-6.","[61, 5, 742, 60, 5, 391, 165, 507, 2, 263, 239, 32, 432, 6]"
Really? I crashed out cuddled on my sofa.,"[189, 5, 5315, 51, 5316, 17, 16, 2012]"
"Thursday night? Yeah, sure thing, we'll work it out then","[2013, 150, 214, 232, 291, 119, 149, 14, 51, 55]"
Tell them the drug dealer's getting impatient,"[132, 145, 4, 2014, 5317, 311, 3535]"
"Piggy, r u awake? I bet u're still sleeping. I'm going 4 lunch now...","[5318, 108, 11, 1587, 5, 2303, 1264, 107, 800, 32, 99, 418, 24]"
Hey i will be late ah... Meet you at 945+,"[137, 5, 29, 25, 301, 547, 139, 3, 21]"
"Also north carolina and texas atm, you would just go to the gre site and pay for the test results to be sent.","[238, 5319, 5320, 8, 3536, 698, 3, 194, 40, 54, 2, 4, 5321, 1773, 8, 323, 12, 4, 656, 1600, 2, 25, 216]"
"January Male Sale! Hot Gay chat now cheaper, call 08709222922. National rate from 1.5p/min cheap to 7.8p/min peak! To stop texts call 08712460324 (10p/min)","[1545, 2735, 1058, 847, 1468, 260, 24, 2015, 18, 1086, 579, 41, 573, 1265, 2, 573, 3537, 2, 75, 444, 18, 573]"
"Response is one of d powerful weapon 2 occupy a place in others 'HEART'... So, always give response 2 who cares 4 U""... Gud night..swt dreams..take care","[1469, 10, 89, 13, 161, 2736, 5322, 3538, 6, 268, 9, 1266, 381, 37, 318, 157, 1469, 115, 2737, 11, 344, 5323, 5324, 178]"
"You at mu? You should try to figure out how much money everyone has for gas and alcohol, jay and I are trying to figure out our weed budget","[3, 21, 1003, 3, 170, 304, 2, 1243, 51, 59, 151, 255, 749, 43, 12, 1059, 8, 2738, 1156, 8, 5, 20, 321, 2, 1243, 51, 64, 1251, 1774]"
Todays Vodafone numbers ending with 4865 are selected to a receive a £350 award. If your number matches call 09064019014 to receive your £350 award.,"[390, 938, 620, 716, 27, 20, 279, 2, 6, 127, 6, 354, 34, 7, 110, 1470, 18, 2, 127, 7, 354]"
Hi mom we might be back later than  &lt;#&gt;,"[97, 1113, 28, 469, 25, 101, 153, 343, 78]"
"Dear V0DAF0NE Customer,You are a 5,00,000 winner of Guaranteed Caller Prize, this is our Final attempt to contact you! To Claim Call 8536074310 Now! ","[93, 1457, 1458, 20, 6, 461, 13, 222, 750, 118, 31, 10, 64, 470, 314, 2, 121, 3, 2, 90, 18, 24]"
U’ve Bin Awarded £50 to Play 4 Instant Cash. Call 08715203028 To Claim. EVERY 9th Player Wins Min £50-£500. OptOut 08718727870,"[1444, 2016, 315, 2, 423, 2739, 181, 18, 2, 90, 193, 361, 1004, 1963, 356, 686]"
Mine here like all fr china then so noisy.,"[884, 79, 68, 57, 962, 2740, 55, 37, 5325]"
"Tell you what, if you make a little spreadsheet and track whose idea it was to smoke to determine who ""smokes too much"" for the entire month of february, I'll come up","[132, 3, 61, 34, 3, 138, 6, 335, 5326, 8, 963, 3539, 1455, 14, 60, 2, 846, 2, 5327, 115, 2304, 165, 151, 12, 4, 2741, 334, 13, 2017, 76, 77, 46]"
"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k","[847, 282, 2018, 18, 24, 40, 219, 206, 356, 1341, 726, 540, 375, 2019, 2020, 2021, 177]"
When ü login dat time... Dad fetching ü home now?,"[56, 346, 440, 73, 565, 5328, 83, 24]"
Its just the effect of irritation. Just ignore it,"[48, 40, 4, 2742, 13, 5329, 40, 1471, 14]"
"Prem Jewellrs Vijaynagar Lucky draw scheme , monthly Rs 300 for 12 month, every month lucky member will be given Rs3600 gold or silver article.Call-9008097492","[2743, 5330, 5331, 605, 261, 5332, 1267, 296, 12, 334, 193, 334, 605, 1472, 29, 25, 1775, 296, 1950, 23, 2240, 5333]"
"Awesome, I'll see you in a bit","[812, 76, 96, 3, 9, 6, 380]"
Ok no prob...,"[66, 44, 1060]"
I'm not sure if its still available though,"[32, 30, 232, 34, 48, 107, 563, 623]"
Do ü all wan 2 meet up n combine all the parts? How's da rest of da project going?,"[38, 57, 309, 139, 46, 122, 3540, 57, 4, 5334, 386, 143, 1351, 13, 143, 788, 99]"
Misplaced your number and was sending texts to your old number. Wondering why i've not heard from you this year. All the best in your mcat. Got this number from my atlanta friends,"[5335, 7, 110, 8, 60, 991, 444, 2, 7, 549, 110, 1268, 202, 217, 30, 1114, 41, 3, 31, 278, 57, 4, 248, 9, 7, 3541, 72, 31, 110, 41, 16, 2744, 293]"
"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+","[1269, 330, 5336, 52, 234, 4, 5337, 559, 100, 42, 1086, 213, 2, 1095, 1269, 2, 5338, 2745, 100, 5339]"
Cool. I am  &lt;#&gt;  inches long. hope you like them big!,"[399, 5, 62, 78, 2692, 365, 158, 3, 68, 145, 421]"
So your telling me I coulda been your real Valentine and I wasn't? U never pick me for NOTHING!!,"[37, 7, 995, 15, 5, 5340, 50, 7, 413, 1473, 8, 5, 672, 11, 371, 237, 15, 12, 417]"
Dear where you. Call me,"[93, 172, 3, 18, 15]"
"A Boy loved a gal. He propsd bt she didnt mind. He gv lv lttrs, Bt her frnds threw thm. Again d boy decided 2 aproach d gal , dt time a truck was speeding towards d gal. Wn it was about 2 hit d girl,d boy ran like hell n saved her. She asked 'hw cn u run so fast?' D boy replied ""Boost is d secret of my energy"" n instantly d girl shouted ""our energy"" n Thy lived happily 2gthr drinking boost evrydy.","[6, 555, 1101, 6, 1270, 91, 3542, 727, 129, 196, 385, 91, 3543, 3544, 3545, 727, 117, 1051, 3546, 2746, 140, 161, 555, 876, 3547, 161, 1270, 3548, 73, 6, 2305, 60, 3549, 1601, 161, 1270, 877, 14, 60, 94, 833, 161, 3550, 555, 1776, 68, 1115, 122, 2022, 117, 129, 580, 1602, 2747, 11, 695, 37, 874, 161, 555, 1579, 2009, 10, 161, 601, 13, 16, 1111, 122, 2306, 161, 499, 2748, 64, 1111, 122, 3551, 2749, 3552, 3553, 2750, 2009, 3554]"
Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call 08718738034,"[146, 12, 45, 2, 3555, 351, 550, 400, 1041, 752, 529, 611, 18]"
Yup it's at paragon... I havent decided whether 2 cut yet... Hee...,"[398, 48, 21, 3556, 5, 348, 876, 1970, 1044, 332, 1050]"
When can ü come out?,"[56, 36, 77, 51]"
She just broke down a list of reasons why nobody's in town and I can't tell if she's being sarcastic or just faggy,"[129, 40, 1977, 308, 6, 1106, 13, 1195, 202, 5341, 9, 569, 8, 5, 141, 132, 34, 574, 349, 3557, 23, 40, 3558]"
No:-)i got rumour that you going to buy apartment in chennai:-),"[3559, 72, 3560, 26, 3, 99, 2, 253, 1996, 9, 1100]"
Oi. Ami parchi na re. Kicchu kaaj korte iccha korche na. Phone ta tul na. Plz. Plz.,"[3561, 5342, 5343, 1263, 483, 5344, 5345, 5346, 5347, 5348, 1263, 111, 2307, 5349, 1263, 717, 717]"
Geeeee ... I love you so much I can barely stand it,"[3501, 5, 87, 3, 37, 151, 5, 36, 2006, 1777, 14]"
Tell me whos this pls:-),"[132, 15, 1542, 31, 173]"
Are your freezing ? Are you home yet ? Will you remember to kiss your mom in the morning? Do you love me ? Do you think of me ? Are you missing me yet ?,"[20, 7, 2751, 20, 3, 83, 332, 29, 3, 446, 2, 527, 7, 1113, 9, 4, 223, 38, 3, 87, 15, 38, 3, 133, 13, 15, 20, 3, 425, 15, 332]"
LOOK AT THE TIME. WHAT  YOU THINK IS UP,"[443, 21, 4, 73, 61, 3, 133, 10, 46]"
Reverse is cheating. That is not mathematics.,"[3562, 10, 3563, 26, 10, 30, 3564]"
"Same here, but I consider walls and bunkers and shit important just because I never play on peaceful but I guess your place is high enough that it don't matter","[358, 79, 33, 5, 2666, 2752, 8, 5350, 8, 489, 431, 40, 326, 5, 371, 423, 17, 3565, 33, 5, 409, 7, 268, 10, 1353, 471, 26, 14, 52, 1778]"
Hi good mornin.. Thanku wish u d same..,"[97, 71, 3566, 5351, 319, 11, 161, 358]"
Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,"[104, 113, 3567, 3, 19, 6, 85, 411, 218, 256, 12, 3, 22, 18, 24, 2, 1271, 218]"
Hey whats up? U sleeping all morning?,"[137, 467, 46, 11, 800, 57, 223]"
Easy ah?Then U wll get selected... its good..,"[468, 5352, 11, 2023, 35, 279, 48, 71]"
I'll be at mu in like  &lt;#&gt;  seconds,"[76, 25, 21, 1003, 9, 68, 78, 1987]"
Tmr then ü brin lar... Aiya later i come n c lar... Mayb ü neva set properly ü got da help sheet wif ü...,"[581, 55, 5353, 433, 2308, 153, 5, 77, 122, 209, 433, 1033, 826, 679, 5354, 72, 143, 130, 5355, 596]"
"Well the weather in cali's great. But its complexities are great. You need a car to move freely, its taxes are outrageous. But all in all its a great place. The sad part is i missing home.","[119, 4, 1779, 9, 5356, 142, 33, 48, 5357, 20, 142, 3, 88, 6, 387, 2, 1112, 5358, 48, 3568, 20, 5359, 33, 57, 9, 57, 48, 6, 142, 268, 4, 804, 501, 10, 5, 425, 83]"
"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?","[246, 16, 87, 61, 20, 3, 186, 135, 3, 35, 2, 26, 1474, 92, 20, 3, 3, 147, 20, 3, 349, 6, 71, 555, 38, 3, 133, 13, 5360, 3, 425, 15]"
"It's wylie, you in tampa or sarasota?","[48, 2309, 3, 9, 1441, 23, 3569]"
Okie,[1061]
No. It's not pride. I'm almost  &lt;#&gt;  years old and shouldn't be takin money from my kid. You're not supposed to have to deal with this stuff. This is grownup stuff--why i don't tell you.,"[44, 48, 30, 5361, 32, 1043, 78, 411, 549, 8, 1780, 25, 2255, 255, 41, 16, 3521, 271, 30, 1116, 2, 19, 2, 980, 27, 31, 367, 31, 10, 5362, 5363, 5, 52, 132, 3]"
"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ","[1354, 347, 232, 72, 73, 2, 1603, 733, 299, 36, 54, 45, 630, 946, 18, 11, 2, 1355, 477]"
"Ok. Not much to do here though. H&M Friday, cant wait. Dunno wot the hell im gonna do for another 3 weeks! Become a slob- oh wait, already done that! ","[66, 30, 151, 2, 38, 79, 623, 2753, 849, 141, 277, 535, 681, 4, 1115, 32, 285, 38, 12, 395, 586, 1475, 6, 5364, 155, 277, 192, 298, 26]"
Anything...,[229]
Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 86.,"[18, 2754, 12, 74, 2755, 206, 732, 18, 41, 6, 1326, 303, 813, 362, 110]"
S.i'm watching it in live..,"[1164, 424, 14, 9, 282]"
Gud mrng dear hav a nice day�keep doing well�,"[344, 1117, 93, 657, 6, 306, 5365, 186, 119]"
Aiyah u did ok already lar. E nydc at wheellock?,"[1747, 11, 135, 66, 192, 433, 208, 3570, 21, 5366]"
Please CALL 08712402578 immediately as there is an urgent message waiting for you,"[22, 18, 228, 63, 82, 10, 98, 167, 106, 256, 12, 3]"
Long after I quit. I get on only like 5 minutes a day as it is.,"[365, 163, 5, 1781, 5, 35, 17, 74, 68, 448, 6, 58, 63, 14, 10]"
"URGENT! Your mobile No 07xxxxxxxxx won a £2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP! BOX97N7QP, 150PPM","[167, 7, 86, 44, 2302, 187, 6, 457, 750, 118, 17, 31, 10, 4, 456, 314, 2, 450, 3, 18, 883, 2756, 401]"
Urgent! Please call 09061213237 from landline. £5000 cash or a luxury 4* Canary Islands Holiday await collection. T&Cs SAE PO Box 177. M227XY. 150ppm. 16+,"[167, 22, 18, 41, 475, 181, 23, 6, 2757, 3571, 2758, 317, 787, 607, 631, 755, 540, 375, 3572, 401]"
"We know someone who you know that fancies you. Call 09058097218 to find out who. POBox 6, LS15HB 150p","[28, 65, 265, 115, 3, 65, 26, 2759, 3, 18, 2, 204, 51, 115, 629, 3573, 219]"
Or maybe my fat fingers just press all these buttons and it doesn't know what to do.,"[23, 524, 16, 1272, 1476, 40, 923, 57, 410, 5367, 8, 14, 551, 65, 61, 2, 38]"
No calls..messages..missed calls..just missing her�.,"[44, 3574, 5368, 425, 117]"
Dude ive been seeing a lotta corvettes lately,"[712, 217, 50, 953, 6, 3575, 5369, 3576]"
" said kiss, kiss, i can't do the sound effects! He is a gorgeous man isn't he! Kind of person who needs a smile to brighten his day! ","[197, 527, 527, 5, 141, 38, 4, 1196, 3577, 91, 10, 6, 2310, 397, 789, 91, 836, 13, 377, 115, 807, 6, 393, 2, 5370, 276, 58]"
I'm leaving my house now. Will reach in half an hour�,"[32, 771, 16, 352, 24, 29, 450, 9, 378, 98, 429]"
What Today-sunday....so no work..,"[61, 5371, 44, 149]"
Oops. 4 got that bit.,"[1273, 72, 26, 380]"
"Come to mu, we're sorting out our narcotics situation","[77, 2, 1003, 162, 2760, 51, 64, 5372, 1241]"
Ambrith..madurai..met u in arun dha marrge..remembr?,"[5373, 11, 9, 2717, 5374, 5375]"
I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd.,"[5, 52, 65, 11, 8, 11, 52, 65, 15, 84, 260, 2, 24, 8, 548, 204, 776, 289, 74, 985, 1563]"
"Sir, I need Velusamy sir's date of birth and company bank facilities details.","[452, 5, 88, 5376, 5377, 568, 13, 2311, 8, 678, 339, 5378, 242]"
What happened to our yo date?,"[61, 814, 2, 64, 434, 568]"
"	FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FEE, visit www.07781482378.com","[45, 106, 441, 7, 45, 80, 560, 70, 885, 2, 31, 106, 27, 4, 490, 1477, 236, 2312]"
Yes just finished watching days of our lives. I love it.,"[164, 40, 809, 424, 292, 13, 64, 1604, 5, 87, 14]"
Dont know you bring some food,"[52, 65, 3, 609, 120, 665]"
"Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07090298926 to re-schedule. Ref:9307622","[104, 113, 1159, 28, 512, 445, 2, 138, 6, 218, 2, 3, 33, 162, 1062, 2, 38, 37, 22, 18, 2, 1197, 1782]"
"Free Msg: get Gnarls Barkleys ""Crazy"" ringtone TOTALLY FREE just reply GO to this message right now!","[45, 136, 35, 5379, 5380, 924, 506, 1356, 45, 40, 49, 54, 2, 31, 106, 168, 24]"
Dear are you angry i was busy dear,"[93, 20, 3, 832, 5, 60, 582, 93]"
I probably won't eat at all today. I think I'm gonna pop. How was your weekend? Did u miss me?,"[5, 492, 274, 428, 21, 57, 92, 5, 133, 32, 285, 2761, 59, 60, 7, 529, 135, 11, 234, 15]"
We have identified some unusual activity on your Online Banking. Log in via the secure link http:/95.141.32.7:81/default.aspx�to avoid account suspension.,"[28, 19, 2762, 120, 369, 414, 17, 7, 269, 1478, 618, 9, 813, 4, 632, 39, 5381, 251, 47, 706]"
"Sir, I need AXIS BANK account no and bank address.","[452, 5, 88, 5382, 339, 47, 44, 8, 339, 69]"
I will treasure every moment we spend together...,"[5, 29, 5383, 193, 1198, 28, 1118, 684]"
Unlimited texts. Limited minutes.,"[752, 444, 1357, 448]"
… and don‘t worry we‘ll have finished by march … ish!,"[8, 52, 603, 119, 19, 809, 70, 532, 1119]"
Yup but it's not giving me problems now so mayb i'll jus leave it...,"[398, 33, 48, 30, 1089, 15, 1783, 24, 37, 1033, 76, 472, 302, 14]"
URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790321 from land line. Claim 3030. Valid 12hrs only 150ppm,"[167, 7, 86, 110, 43, 50, 315, 27, 6, 118, 222, 18, 41, 648, 303, 90, 402, 341, 74, 401]"
Me fine..absolutly fine�.dont worry!!!,"[15, 3578, 5384, 603]"
"Please call our customer service representative on 6299257179 between 10am-9pm as you have W0N a guaranteed cash prize of Rs.5,00,000 FL1PKART TEAM","[22, 18, 64, 104, 113, 844, 17, 449, 810, 63, 3, 19, 877, 6, 222, 181, 118, 13, 296, 992, 213]"
Waiting for your call.,"[256, 12, 7, 18]"
I am late. I will be there at 12,"[5, 62, 301, 5, 29, 25, 82, 21]"
URGENT This is our 2nd attempt to contact U. Your £900 prize from YESTERDAY is still awaiting collection. To claim CALL NOW 09061702893. ACL03530150PM,"[167, 31, 10, 64, 456, 314, 2, 121, 11, 7, 118, 41, 598, 10, 107, 1190, 607, 2, 90, 18, 24, 3579]"
Er mw im filled tuth is aight,"[2024, 2763, 32, 2764, 5385, 10, 504]"
URGENT: UKGOV has issued a payment of 458 GBP to all residents as part of its promise to battle COVID 19.  TAP here https:/uk-covid-19.webredirect.org/to apply,"[167, 5386, 43, 2765, 6, 211, 13, 1352, 2, 57, 3580, 63, 501, 13, 48, 925, 2, 2250, 1005, 790, 79, 5387, 272]"
"Spoke with uncle john today. He strongly feels that you need to sacrifice to keep me here. He's going to call you. When he does, i beg you to just listen. Dont make any promises or make it clear things are not easy. And i need you to please let us work things out. As long as i keep expecting help, my creativity will be stifled so pls just keep him happy, no promises on your part.","[1784, 27, 1099, 1006, 92, 91, 5388, 1199, 26, 3, 88, 2, 3581, 2, 203, 15, 79, 495, 99, 2, 18, 3, 56, 91, 459, 5, 3582, 3, 2, 40, 920, 52, 138, 95, 2766, 23, 138, 14, 2313, 328, 20, 30, 468, 8, 5, 88, 3, 2, 22, 207, 125, 149, 328, 51, 63, 365, 63, 5, 203, 2025, 130, 16, 5389, 29, 25, 5390, 37, 173, 40, 203, 166, 147, 44, 2766, 17, 7, 501]"
S:)but he had some luck.2 catches put down:),"[5391, 91, 160, 120, 850, 5392, 531, 308]"
Ur balance is now £500. Ur next question is: Who sang 'Uptown Girl' in the 80's ? 2 answer txt ur ANSWER to 83600. Good luck!,"[42, 1335, 10, 24, 42, 230, 719, 10, 115, 5393, 5394, 499, 9, 4, 364, 647, 100, 42, 647, 2, 71, 850]"
Hello..Wake up.Sweet morning welcomes You. Enjoy This Day with full of joy.,"[5395, 5396, 223, 3583, 3, 392, 31, 58, 27, 487, 13, 2314]"
We have all rounder:)so not required:),"[28, 19, 57, 5397, 30, 784]"
I agree. So i can stop thinkin about ipad. Can you please ask macho the same question.,"[5, 3584, 37, 5, 36, 75, 1439, 94, 1274, 36, 3, 22, 198, 2767, 4, 358, 719]"
Nope... C ü then...,"[950, 209, 55]"
All was well until slightly disastrous class this pm with my fav darlings! Hope day off ok. Coffee wld be good as can't stay late tomorrow. Same time + place as always?,"[57, 60, 119, 460, 3488, 5398, 370, 31, 264, 27, 16, 5399, 3585, 158, 58, 250, 66, 1240, 3586, 25, 71, 63, 141, 442, 301, 180, 358, 73, 268, 63, 318]"
Free Msg: Ringtone!From: http://tms. widelive.com/index. wml?id=1b6a5ecef91ff9*37819&first=true18:0430-JUL-05,"[45, 136, 3587, 2315, 2316, 3588]"
"Hottest pics straight to your phone!! See me getting and Wanting, just for you xx Text PICS to 89555 now! txt costs 150p textoperator g696ga 18 XxX","[3589, 744, 1581, 2, 7, 111, 96, 15, 311, 8, 2026, 40, 12, 3, 1063, 80, 744, 2, 24, 100, 2027, 219, 2768, 3590, 533]"
money!!! you r a lucky winner ! 2 claim your prize text money 2 88600 over £1million to give away ! ppt150x3+normal text rate box403 w1t1jy,"[255, 3, 108, 6, 605, 461, 90, 7, 118, 80, 255, 235, 2028, 2, 157, 528, 5400, 80, 579, 375, 5401]"
Only if you promise your getting out as SOON as you can. And you'll text me in the morning to let me know you made it in ok.,"[74, 34, 3, 925, 7, 311, 51, 63, 210, 63, 3, 36, 8, 588, 80, 15, 9, 4, 223, 2, 207, 15, 65, 3, 382, 14, 9, 66]"
"Sorry I missed you babe. I was up late and slept in. I hope you enjoy your driving lesson, boytoy. I miss you too ... *teasing kiss*","[102, 5, 599, 3, 247, 5, 60, 46, 301, 8, 1440, 9, 5, 158, 3, 392, 7, 724, 878, 926, 5, 234, 3, 165, 1785, 527]"
	Want the latest Video handset? 750 anytime any network mins? Half price line rental? Reply or call 08000930705 for delivery tomorrow,"[81, 4, 351, 333, 1045, 584, 95, 458, 266, 378, 437, 303, 748, 49, 23, 18, 12, 218, 180]"
Can you say what happen,"[36, 3, 188, 61, 774]"
Is she replying. Has boye changed his phone number,"[10, 129, 885, 43, 2769, 1578, 276, 111, 110]"
Rightio. 11.48 it is then. Well arent we all up bright and early this morning.,"[5402, 14, 10, 55, 119, 1605, 28, 57, 46, 2317, 8, 507, 31, 223]"
Todays Voda numbers ending 1225 are selected to receive a £50award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app,"[390, 1237, 620, 716, 20, 279, 2, 127, 6, 354, 34, 3, 19, 6, 643, 22, 18, 869, 90, 221, 799, 544, 668]"
I will see in half an hour,"[5, 29, 96, 9, 378, 98, 429]"
Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277.,"[1358, 1007, 882, 1574, 205, 6, 545, 1359, 1479, 1004, 34, 11, 65, 254, 1606, 4, 3591, 10, 9, 100, 2318, 2]"
"Congrats! 1 year special cinema pass for 2 is yours. call 09061209467 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ","[612, 278, 350, 1434, 921, 12, 10, 613, 18, 24, 209, 2770, 330, 2771, 2772, 1034, 57, 45, 3592, 264, 52, 234, 51]"
Depends on individual lor e hair dresser say pretty but my parents say look gong. U kaypoh.. I also dunno wat she collecting.,"[1555, 17, 5403, 112, 208, 649, 2773, 188, 1026, 33, 16, 956, 188, 443, 5404, 11, 5405, 5, 238, 535, 185, 129, 2774]"
Just buy a pizza. Meat lovers or supreme. U get to pick.,"[40, 253, 6, 1480, 5406, 3593, 23, 5407, 11, 35, 2, 237]"
Is there coming friday is leave for pongal?do you get any news from your work place.,"[10, 82, 338, 849, 10, 302, 12, 3594, 3, 35, 95, 559, 41, 7, 149, 268]"
"Short But Cute: ""Be a good person, but dont try to prove it..""","[1360, 33, 1463, 25, 6, 71, 377, 33, 52, 304, 2, 2319, 14]"
Just finished eating. Got u a plate. NOT leftovers this time.,"[40, 809, 1607, 72, 11, 6, 5408, 30, 5409, 31, 73]"
WHORE YOU ARE UNBELIEVABLE.,"[5410, 3, 20, 2775]"
MAKE SURE ALEX KNOWS HIS BIRTHDAY IS OVER IN FIFTEEN MINUTES AS FAR AS YOU'RE CONCERNED,"[138, 232, 1549, 1275, 276, 436, 10, 235, 9, 2320, 448, 63, 896, 63, 271, 5411]"
Mark works tomorrow. He gets out at 5. His work is by your house so he can meet u afterwards.,"[1433, 1749, 180, 91, 1064, 51, 21, 276, 149, 10, 70, 7, 352, 37, 91, 36, 139, 11, 5412]"
Anything lor. Juz both of us lor.,"[229, 112, 651, 769, 13, 125, 112]"
You stayin out of trouble stranger!!saw Dave the other day hes sorted now!still with me bloke when u gona get a girl MR!ur mum still Thinks we will get 2GETHA!,"[3, 3595, 51, 13, 694, 5413, 2776, 4, 289, 58, 495, 3596, 5414, 27, 15, 3597, 56, 11, 2777, 35, 6, 499, 5415, 919, 107, 682, 28, 29, 35, 5416]"
I cant pick the phone right now. Call later,"[5, 141, 237, 4, 111, 168, 24, 18, 153]"
Do u noe how 2 send files between 2 computers?,"[38, 11, 767, 59, 84, 1200, 449, 5417]"
"Sorry, I'll call later..urgent work..","[102, 76, 18, 5418, 149]"
At home by the way,"[21, 83, 70, 4, 169]"
This is hoping you enjoyed your game yesterday. Sorry i've not been in touch but pls know that you are fondly bein thot off. Have a great week. Abiola,"[31, 10, 1158, 3, 2321, 7, 729, 598, 102, 217, 30, 50, 9, 851, 33, 173, 65, 26, 3, 20, 5419, 2707, 3598, 250, 19, 6, 142, 126, 1180]"
I will send them to your email. Do you mind  &lt;#&gt;  times per night?,"[5, 29, 84, 145, 2, 7, 515, 38, 3, 385, 78, 500, 206, 150]"
Hope youre not having too much fun without me!! see u tomorrow love jess x,"[158, 271, 30, 325, 165, 151, 408, 404, 15, 96, 11, 180, 87, 2322, 322]"
Early bird! Any purchases yet?,"[507, 3599, 95, 2778, 332]"
Lmao you know me so well...,"[1786, 3, 65, 15, 37, 119]"
Dunno cos i was v late n when i reach they inside already... But we ate spageddies lor... It's e gals who r laughing at me lor...,"[535, 239, 5, 60, 330, 301, 122, 56, 5, 450, 134, 1608, 192, 33, 28, 1768, 5420, 112, 48, 208, 2323, 115, 108, 2258, 21, 15, 112]"
I hope you that's the result of being consistently intelligent and kind. Start asking him about practicum links and keep your ears open and all the best. ttyl,"[5, 158, 3, 174, 4, 1481, 13, 349, 5421, 2324, 8, 836, 422, 1166, 166, 94, 5422, 2779, 8, 203, 7, 2780, 105, 8, 57, 4, 248, 2029]"
At WHAT TIME should i come tomorrow,"[21, 61, 73, 170, 5, 77, 180]"
Oh :-)only 4 outside players allowed to play know,"[155, 74, 964, 1589, 2030, 2, 423, 65]"
Ok good then i later come find ü... C lucky i told ü to go earlier... Later pple take finish ü no more again...,"[66, 71, 55, 5, 153, 77, 204, 209, 605, 5, 329, 2, 54, 1032, 153, 2002, 103, 357, 44, 109, 140]"
"Hmmm.... Mayb can try e shoppin area one, but forgot e name of hotel...","[1354, 1033, 36, 304, 208, 3600, 658, 89, 33, 494, 208, 257, 13, 1201]"
Free tones Hope you enjoyed your new content. text stop to 61610 to unsubscribe. help:08712400602450p Provided by tones2you.co.uk,"[45, 645, 158, 3, 2321, 7, 85, 633, 80, 75, 2, 2, 463, 2781, 2031, 70, 3601]"
